                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.491,                    3.2,                 1.0706,                 0.8937,                0.03835,                0.09187,                0.05304,                 1.3453,                 2.8687,                0.97324,             0.00021911,             0.00021911,             0.00021911
                      2,                 1.2941,                 1.7226,                0.99122,                0.80204,                0.11291,                0.12787,                0.07011,                 1.4319,                 1.8236,                 1.0266,              0.0004327,              0.0004327,              0.0004327
                      3,                 1.2617,                 1.5445,                0.98708,                0.56873,                0.17287,                0.15845,                 0.0894,                 1.3778,                 1.4151,                 1.0263,             0.00063749,             0.00063749,             0.00063749
                      4,                 1.2165,                 1.4243,                0.97811,                0.64757,                0.22188,                0.17152,                0.08953,                  1.396,                 1.5025,                 1.0342,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.1859,                 1.3547,                0.98335,                0.47045,                0.27188,                0.20169,                0.11849,                 1.3097,                 1.3536,                0.99312,             0.00062738,             0.00062738,             0.00062738
                      6,                 1.1704,                 1.2609,                0.96415,                0.42872,                 0.3181,                0.21822,                0.12386,                 1.2624,                 1.3636,                0.97844,             0.00061417,             0.00061417,             0.00061417
                      7,                 1.1517,                 1.2216,                0.97052,                0.33923,                0.31229,                0.22737,                0.13355,                 1.3416,                 1.2166,                0.99534,             0.00060097,             0.00060097,             0.00060097
                      8,                 1.1537,                 1.2046,                0.97152,                0.31714,                0.30474,                0.24681,                0.14077,                  1.316,                 1.2201,                0.99463,             0.00058776,             0.00058776,             0.00058776
                      9,                 1.1321,                 1.1564,                0.96522,                0.34572,                0.34142,                0.25912,                0.14423,                 1.2966,                 1.2271,                 1.0003,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.1258,                 1.1495,                0.96035,                0.31148,                0.39698,                0.26894,                0.14974,                 1.2828,                 1.3543,                0.99284,             0.00056135,             0.00056135,             0.00056135
                     11,                 1.1288,                 1.1171,                0.95834,                0.37214,                0.40106,                0.32718,                 0.1815,                   1.28,                 1.2137,                0.99102,             0.00054814,             0.00054814,             0.00054814
                     12,                 1.1127,                 1.0785,                0.94801,                0.35367,                0.40275,                 0.3063,                0.17479,                 1.2674,                 1.1963,                0.99112,             0.00053493,             0.00053493,             0.00053493
                     13,                 1.0903,                 1.0683,                0.95382,                 0.5654,                0.37712,                0.37582,                0.19851,                 1.3217,                    1.3,                  1.014,             0.00052173,             0.00052173,             0.00052173
                     14,                 1.0834,                 1.0548,                0.94443,                0.46367,                0.42974,                0.33806,                0.19031,                 1.2738,                 1.1098,                0.97932,             0.00050852,             0.00050852,             0.00050852
                     15,                 1.0755,                 1.0324,                0.94342,                0.56303,                0.39603,                0.35814,                0.19122,                 1.2938,                 1.2618,                0.99321,             0.00049531,             0.00049531,             0.00049531
                     16,                 1.0589,                 1.0156,                 0.9345,                0.59761,                0.40074,                0.39266,                0.24054,                 1.2015,                 1.0918,                0.96296,             0.00048211,             0.00048211,             0.00048211
                     17,                 1.0515,                0.98786,                0.93558,                0.47538,                0.33317,                0.31513,                0.17865,                 1.2183,                 1.1663,                0.96375,              0.0004689,              0.0004689,              0.0004689
                     18,                 1.0717,                 0.9872,                0.94281,                0.60915,                0.35875,                0.37449,                0.21065,                 1.3169,                 1.1091,                 1.0128,             0.00045569,             0.00045569,             0.00045569
                     19,                 1.0591,                0.98284,                0.94054,                0.55709,                  0.393,                 0.3423,                0.19832,                 1.2083,                 1.0896,                0.97184,             0.00044249,             0.00044249,             0.00044249
                     20,                 1.0435,                0.95966,                0.93846,                0.56559,                0.40766,                0.37442,                0.20701,                 1.1866,                 1.0502,                0.96108,             0.00042928,             0.00042928,             0.00042928
                     21,                 1.0452,                0.95603,                 0.9337,                0.50329,                0.36229,                0.37218,                0.21174,                 1.2654,                 1.1416,                0.97588,             0.00041607,             0.00041607,             0.00041607
                     22,                 1.0587,                 0.9692,                 0.9344,                0.64524,                0.38167,                0.39835,                 0.2215,                  1.233,                 1.0669,                0.97201,             0.00040287,             0.00040287,             0.00040287
                     23,                 1.0188,                0.93681,                0.93035,                0.62668,                0.43947,                 0.4275,                0.23297,                 1.2265,                 1.1426,                 0.9637,             0.00038966,             0.00038966,             0.00038966
                     24,                 1.0371,                0.91729,                0.93051,                0.60236,                 0.4158,                0.38278,                0.21945,                 1.2349,                 1.0747,                0.96835,             0.00037645,             0.00037645,             0.00037645
                     25,                0.99578,                0.90612,                0.92236,                0.61644,                0.40851,                0.39138,                0.22296,                 1.2336,                  1.113,                0.97079,             0.00036325,             0.00036325,             0.00036325
